1,5,14,24,25,38
15,24,27,32,34,49
20,26,28,30,45,48
22,29,36,44,46,47
4,12,16,31,44,48
23,27,40,43,44,47
13,26,27,38,46,47
2,17,41,42,44,47
6,26,28,36,37,48
8,27,28,29,43,44
12,19,22,23,29,36
13,27,35,38,44,47
3,12,31,33,45,49
8,13,16,18,19,49
16,24,25,28,32,44
1,5,6,18,31,35
6,16,19,20,25,43
1,4,14,17,21,26
1,3,40,43,45,46
9,16,31,38,43,45
6,17,29,32,39,40
26,27,37,41,43,45
7,16,28,34,45,47
13,15,27,28,40,48
6,11,20,23,25,35
6,16,26,28,41,49
2,7,34,36,37,40
2,5,29,35,37,38
1,10,18,27,35,38
5,6,10,20,40,43
12,13,15,35,38,39
5,11,12,16,24,28
3,24,27,33,41,44
23,25,29,38,39,43
7,8,10,15,31,37
4,11,12,16,36,43
21,22,29,36,38,41
5,10,26,31,37,44
3,14,24,31,35,46
5,10,11,28,41,44
1,16,25,36,39,42
6,7,17,21,43,49
20,22,27,34,44,48
8,35,44,46,48,49
5,30,34,36,43,49
3,14,18,25,36,45
7,13,24,31,39,40
9,12,16,20,36,39
6,18,21,31,35,48
16,19,27,30,44,45
7,17,18,24,29,48
9,34,38,39,43,44
7,24,35,37,45,47
6,30,33,39,41,49
5,18,22,23,25,26
2,5,21,24,29,46
3,7,15,24,38,41
1,2,7,9,20,43
17,19,27,30,36,43
6,7,8,35,36,43
3,6,18,21,33,34
14,23,31,33,35,47
8,16,20,30,31,48
8,21,27,34,41,46
7,20,24,46,48,49
4,8,14,21,30,49
4,14,27,37,40,44
1,2,5,7,40,44
6,15,20,22,26,46
19,21,32,39,43,45
9,12,24,30,31,47
13,16,19,24,33,48
9,11,19,27,30,46
4,21,23,27,45,47
1,7,15,20,31,45
2,10,39,46,47,48
5,24,26,36,41,45
4,5,10,22,30,35
7,9,11,16,43,46
3,8,21,24,30,42
2,8,9,18,31,42
7,11,14,18,34,45
4,21,32,38,43,45
6,19,22,27,36,40
3,9,13,15,27,30
30,32,35,40,43,44
4,9,14,15,44,45
11,23,43,46,47,49
8,12,19,33,41,45
3,11,16,20,21,24
5,9,12,33,45,47
7,9,21,28,29,35
1,26,33,34,38,46
4,6,22,27,31,33
7,8,11,19,25,39
3,6,13,18,31,40
1,3,8,18,35,47
22,27,30,39,41,44
1,6,11,27,33,41
16,26,32,35,43,46
19,24,32,36,38,41
11,19,25,26,36,45
16,20,26,34,38,47
9,11,13,29,36,45
5,9,23,28,40,46
4,13,18,23,24,40
31,32,36,38,39,44
2,7,12,27,29,44
19,24,26,34,41,43
4,17,19,25,32,39
4,5,20,29,31,47
4,26,29,34,39,40
9,19,20,32,33,37
9,10,17,21,38,48
1,7,19,36,42,49
6,9,14,26,36,46
1,7,11,14,19,38
17,21,22,25,39,47
3,6,18,31,38,49
6,20,23,29,32,37
9,10,12,18,32,48
4,12,21,40,42,45
1,10,13,19,25,33
11,17,23,26,30,34
2,19,26,27,44,47
24,26,29,40,44,46
3,9,11,37,45,46
4,5,9,19,29,31
6,26,29,31,32,41
2,5,7,36,38,42
1,12,15,19,22,30
20,22,30,43,46,48
5,17,23,35,45,48
9,16,19,25,34,36
11,15,26,33,40,49
7,12,13,14,35,43
1,7,17,28,41,45
7,24,28,31,37,43
9,10,20,22,41,42
8,9,34,41,44,47
19,25,34,40,42,46
5,8,17,20,21,42
2,4,25,28,38,46
15,22,28,29,42,46
5,10,17,21,31,36
18,29,32,34,35,46
5,19,22,30,39,45
17,18,23,32,36,39
9,28,29,32,41,49
7,17,26,28,42,48
4,5,7,25,38,42
8,10,24,27,35,43
2,9,13,18,20,29
12,18,30,38,39,47
9,16,22,40,42,47
4,10,17,26,39,47
8,16,19,26,33,45
1,25,34,41,44,49
20,25,36,39,43,45
2,21,26,28,41,49
3,18,21,31,34,37
8,16,17,37,40,41
3,4,5,14,17,31
3,16,21,41,45,46
5,14,24,27,36,43
3,21,29,37,40,47
2,14,18,28,32,43
1,8,10,34,42,45
1,5,15,33,35,47
1,4,20,33,34,37
5,16,18,31,46,49
7,10,12,32,44,48
16,24,25,36,44,45
7,17,20,30,33,43
7,17,29,31,38,47
7,25,28,32,37,43
3,13,17,24,32,35
3,14,29,34,46,49
3,26,39,44,48,49
8,14,21,24,38,47
1,5,7,10,23,40
5,8,14,21,33,34
4,5,34,35,40,43
